university_name,Country,World Rank,Teaching,International,Research,Citations,Num of students,Student-Staff Ratio
California Institute of Technology,USA,1,92.2,67,98.1,99.7,2243,6.9
Harvard University,USA,2,92.9,67.6,98.6,98.9,20152,8.9
University of Oxford,UK,3,88.6,90.7,97.7,95.5,19919,11.6
Stanford University,USA,4,91.5,69,96.7,99.1,15596,7.8
University of Cambridge,UK,5,89.7,87.8,95.6,95.2,18812,11.8
Massachusetts Institute of Technology,USA,6,89.1,84.3,88.2,100,11074,9
Princeton University,USA,7,86.6,61.2,94.7,99.6,7929,8.4
"University of California, Berkeley",USA,8,84.2,58.5,96.7,99.1,36186,16.4
Imperial College London,UK,9,84.6,92.7,88.3,89.4,15060,11.7
Yale University,USA,9,88.5,59.8,90.8,94,11751,4.4
University of Chicago,USA,11,83.9,65.2,89.9,97.3,14221,6.9
"University of California, Los Angeles",USA,12,82.4,49.2,90.5,95.3,38206,10.3
ETH Zurich _ﾊ_ Swiss Federal Institute of Technology Zurich,Switzerland,13,78.2,96.6,90.2,83.5,18178,14.7
Columbia University,USA,14,83.9,68.3,79.4,95.3,25055,5.9
Johns Hopkins University,USA,15,75.6,59.7,84.2,93.6,15128,3.6
University of Pennsylvania,USA,16,79,43.8,82,94.4,20376,6.5
University of Michigan,USA,17,77,49.8,86.5,88.9,41786,9
Duke University,USA,18,73.5,50.5,75.2,96.6,15172,4.8
Cornell University,USA,19,71.6,59,83.8,91.5,21424,10.2
University of Toronto,Canada,20,74.4,71.2,85.1,83,66198,19.5
Northwestern University,USA,21,72.7,36.7,78.9,96.9,18334,13.8
University College London,UK,22,70.4,90.6,80.4,85.1,26607,10.7
University of Tokyo,Japan,23,81.4,32.4,85.1,74.7,26199,5.7
Carnegie Mellon University,USA,24,61.6,59.3,74.9,92,11885,13.1
National University of Singapore,Singapore,25,72,94.9,78.1,66,31592,15.5
University of Washington,USA,26,64.5,47.9,68.9,95,44020,11.8
Georgia Institute of Technology,USA,27,62.5,68.9,71.2,85.8,19967,20.1
University of Texas at Austin,USA,28,64.3,33.1,72,91.5,49427,17.4
LMU Munich,Germany,29,65.1,56.4,69.1,83,35691,15.5
University of Illinois at Urbana-Champaign,USA,29,67.7,43.9,79,77.8,42727,18.7
University of Wisconsin-Madison,USA,29,67.7,33.6,71.3,87.7,39655,10.8
University of British Columbia,Canada,32,60.5,84.8,69,85.3,50152,17.6
University of Melbourne,Australia,33,60.4,81.3,70.9,80.6,40128,23.7
London School of Economics and Political Science,UK,34,65.4,87.4,74.2,71.3,18566,14.4
神cole Polytechnique F姓d姓rale de Lausanne,Switzerland,34,54.7,98.8,56.9,95,9666,10.5
University of Edinburgh,UK,36,58.9,84.3,62.9,88.3,25774,14.1
