university_name,Country,World Rank,Teaching,International,Research,Citations,Num of students,Student-Staff Ratio
California Institute of Technology,USA,1,94.4,65.8,98.2,99.8,2243,6.9
Harvard University,USA,2,95.3,66.2,98.5,99.1,20152,8.9
University of Oxford,United Kingdom,2,89,90.2,98.5,95.4,19919,11.6
Stanford University,USA,4,94.7,68,96.8,99.1,15596,7.8
Massachusetts Institute of Technology,USA,5,92.9,82,89,100,11074,9
Princeton University,USA,6,89.9,59.6,97.6,99.7,7929,8.4
University of Cambridge,United Kingdom,7,90.6,86.7,95.3,95.7,18812,11.8
"University of California, Berkeley",USA,8,83.2,57.3,97.5,99.3,36186,16.4
University of Chicago,USA,9,85.6,58.6,88.2,98,14221,6.9
Imperial College London,United Kingdom,10,84.5,91.8,88.1,90,15060,11.7
Yale University,USA,11,89.5,57.6,90.5,93.5,11751,4.4
"University of California, Los Angeles",USA,12,84.8,46.4,91,95.6,38206,10.3
Columbia University,USA,13,86.6,68,79.1,95.6,25055,5.9
ETH Zurich _ã_ Swiss Federal Institute of Technology Zurich,Switzerland,14,77.6,96.7,88.2,85,18178,14.7
Johns Hopkins University,USA,15,75.7,59.3,85.1,95,15128,3.6
University of Pennsylvania,USA,16,79.8,40.6,81.2,95,20376,6.5
Duke University,USA,17,73.9,50,73,96.7,15172,4.8
University of Michigan,USA,18,70,49.5,86.2,90.8,41786,9
Cornell University,USA,19,72.1,55.6,83.8,90.8,21424,10.2
University of Toronto,Canada,20,73.6,70,81.5,84.5,66198,19.5
University College London,United Kingdom,21,70.5,90.2,77.5,84.1,26607,10.7
Northwestern University,USA,22,70.2,34.4,76,97.1,18334,13.8
University of Tokyo,Japan,23,84.7,29.6,88,69.8,26199,5.7
Carnegie Mellon University,USA,24,63.1,58.1,77.4,93.9,11885,13.1
University of Washington,USA,25,65.6,43.2,69.2,95.6,44020,11.8
National University of Singapore,Singapore,26,68,94.3,77.8,66.4,31592,15.5
University of Texas at Austin,USA,27,64.7,42.4,69,91.3,49427,17.4
Georgia Institute of Technology,USA,28,59.4,67.8,68.6,87.9,19967,20.1
University of Illinois at Urbana-Champaign,USA,29,66,41.1,78.9,79.4,42727,18.7
University of Wisconsin-Madison,USA,30,69.8,32.3,67.7,87.2,39655,10.8
University of British Columbia,Canada,31,59.9,84.2,67.9,83.7,50152,17.6
London School of Economics and Political Science,United Kingdom,32,65.2,81.7,74.2,69.2,18696,14.5
"University of California, Santa Barbara",USA,33,47.8,61.8,58.2,99.4,22020,27.3
University of Melbourne,Australia,34,57.1,81.3,64.2,80.2,40128,23.7
McGill University,Canada,35,61.5,77.8,68.1,74.5,31326,13.7
Karolinska Institute,Sweden,36,58.1,73.2,67.7,76,7774,11.5
ê_cole Polytechnique Fê©dê©rale de Lausanne,Switzerland,37,52.9,98.2,48.3,95.9,9666,10.5
King_ã_s College London,United Kingdom,38,56.2,86,56.8,87.6,21394,11.4
University of Edinburgh,United Kingdom,39,56.6,81.5,56.9,87.6,25774,14.1
New York University,USA,40,65.4,41.8,58.4,87.9,42056,6.8
"University of California, San Diego",USA,40,52,35.6,63,96.7,27233,6.5
Washington University in St Louis,USA,42,59.5,44.6,52.9,96.4,12528,5.7
University of Hong Kong,Hong Kong,43,61.6,80.3,69.9,61.5,19835,17.6
Seoul National University,South Korea,44,76.4,29.4,79.2,47.3,26389,13.9
Peking University,China,45,72.3,60.6,58.1,62.8,40148,8.3
University of Minnesota,USA,46,61.4,31.7,62.7,81.2,46825,18
University of North Carolina at Chapel Hill,USA,47,57.6,35,55.3,90.2,26518,7.3
Australian National University,Australia,48,51.8,91.4,65.1,71.2,14604,19.2
Pennsylvania State University,USA,49,55.3,33.7,65.9,79.4,44501,12.4
Boston University,USA,50,56.5,44.2,46.1,95.3,24789,8.6
Tsinghua University,China,50,66.8,42.6,65.9,59.9,39763,13.7
Brown University,USA,52,55.4,37.7,52,91.3,8653,10.1
Kyoto University,Japan,52,69.5,27.5,69.5,58.2,22809,5.6
"University of California, Davis",USA,52,55.5,53.7,56.4,81.2,35364,13.9
LMU Munich,Germany,55,55.4,56.3,54.1,83.3,35691,15.5
Korea Advanced Institute of Science and Technology (KAIST),South Korea,56,65.6,34.3,60,67,9027,10
Hong Kong University of Science and Technology,Hong Kong,57,52.4,77,59.7,72.3,11385,23.8
University of Manchester,United Kingdom,58,54.5,80.9,52.2,77.3,34938,15.3
Ohio State University,USA,59,58.3,48.1,52.9,79.4,51462,13.4
Pohang University of Science and Technology,South Korea,60,54.2,33.8,49,85.7,3055,10.1
KU Leuven,Belgium,61,48.6,58.6,59.9,72.9,42503,41.9
Purdue University,USA,62,53.7,60.6,62.5,67,39256,18.1
The University of Queensland,Australia,63,43.4,79.7,58,73.3,34718,32.7
University of Gê_ttingen,Germany,63,45.1,51.5,48.8,89.6,25581,25.6
Rice University,USA,65,44.1,67.7,35.5,99.9,6333,9
ê_cole Normale Supê©rieure,France,65,54.6,67.1,37.1,87,2400,7.9
Leiden University,Netherlands,67,41.9,58.5,53.2,84.2,21222,17.1
Heidelberg University,Germany,68,57.8,61.3,44.8,76,28881,24.5
Delft University of Technology,Netherlands,69,55.8,74.2,67.3,47.2,15920,19.4
University of Southern California,USA,70,58.7,43.4,43.2,81.2,36534,12.9
ê_cole Polytechnique,France,70,46.3,86.1,40.5,82.3,2429,4.8
University of Sydney,Australia,72,47.4,84.8,55.4,66.6,41868,20.2
Erasmus University Rotterdam,Netherlands,73,37.8,66.6,53.3,81.2,20580,18.9
University of Basel,Switzerland,74,39.1,91.1,41,81.4,12551,17.3
Utrecht University,Netherlands,74,36.3,49.2,54.7,82,30779,15.4
Nanyang Technological University,Singapore,76,37.7,91,54.3,67.5,25028,16.2
Wageningen University and Research Center,Netherlands,77,43.1,78.3,44.3,74.1,9248,17
University of Pittsburgh,USA,78,48.6,29.4,45.4,84.4,26485,5.8
University of Bristol,United Kingdom,79,39.6,75,41.2,84.9,17906,14
Durham University,United Kingdom,80,38.3,76.8,38.3,88.2,15489,15.7
Emory University,USA,80,50.4,42.4,31.6,90.8,12338,4.5
Tufts University,USA,80,46.7,43.4,32.1,93.9,10410,10
